,SCHID,AGEC_NEW,SCHTREAT_(1) Treatment school (Roots meetings 2012-2013),GENDER_(1) Boy,GR_(1) 6th grade,GR_(2) 7th grade,GR_(3) 8th grade,COLL_(1) Yes,COLL_(2) Maybe,COLL_(3) Don't know,CELL_(1) Cell phone without Internet,CELL_(2) Cell phone with Internet,FSCH_(1) Do go to this school,RTSM1_(0) No,RTSM1_(1) Yes,RTSM2_(0) No,RTSM2_(1) Yes,RTSM3_(0) No,RTSM3_(1) Yes,RTSM4_(0) No,RTSM4_(1) Yes,RTSM5_(0) No,RTSM5_(1) Yes,RTSM6_(0) No,RTSM6_(1) Yes,RTSM7_(0) No,RTSM7_(1) Yes,RTSM8_(0) No,RTSM8_(1) Yes,RTSM9_(0) No,RTSM9_(1) Yes,composite_conflict_score
0,1,12.106617647058824,1.0,0.5054151624548736,0.2743682310469314,0.3249097472924188,0.3104693140794224,0.6859205776173285,0.1263537906137184,0.06498194945848375,0.2888086642599278,0.4584837545126354,0.7617328519855595,0.01444043321299639,0.05776173285198556,0.01444043321299639,0.05776173285198556,0.02527075812274368,0.04693140794223827,0.021660649819494584,0.05054151624548736,0.02888086642599278,0.04332129963898917,0.021660649819494584,0.05054151624548736,0.01444043321299639,0.05776173285198556,0.018050541516245487,0.05415162454873646,0.018050541516245487,0.05415162454873646,4.836642599277979
1,2,11.666666666666666,0.0,0.4782608695652174,0.23629489603024575,0.20982986767485823,0.2722117202268431,0.7504725897920604,0.09262759924385633,0.04725897920604915,0.20982986767485823,0.45935727788279773,0.7277882797731569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.282608695652174
2,3,12.5,1.0,0.5,0.0,0.47101449275362317,0.4420289855072464,0.782608695652174,0.06521739130434782,0.028985507246376812,0.2028985507246377,0.572463768115942,0.7681159420289855,0.014492753623188406,0.13043478260869565,0.028985507246376812,0.11594202898550725,0.057971014492753624,0.08695652173913043,0.06521739130434782,0.07971014492753623,0.050724637681159424,0.09420289855072464,0.050724637681159424,0.09420289855072464,0.057971014492753624,0.08695652173913043,0.06521739130434782,0.07971014492753623,0.050724637681159424,0.09420289855072464,5.021739130434782
3,5,12.539130434782608,0.0,0.4608695652173913,0.0,0.4608695652173913,0.4434782608695652,0.8260869565217391,0.034782608695652174,0.034782608695652174,0.43478260869565216,0.3565217391304348,0.7043478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.395652173913043
4,6,12.529411764705882,1.0,0.44967880085653106,0.0021413276231263384,0.4817987152034261,0.4668094218415418,0.8629550321199143,0.034261241970021415,0.027837259100642397,0.38329764453961457,0.41755888650963596,0.8137044967880086,0.008565310492505354,0.05139186295503212,0.021413276231263382,0.03854389721627409,0.02569593147751606,0.034261241970021415,0.032119914346895075,0.027837259100642397,0.029978586723768737,0.029978586723768737,0.029978586723768737,0.029978586723768737,0.014989293361884369,0.044967880085653104,0.03640256959314775,0.023554603854389723,0.023554603854389723,0.03640256959314775,5.442184154175589
5,7,12.027642276422764,0.0,0.4967741935483871,0.3,0.34838709677419355,0.32741935483870965,0.8774193548387097,0.043548387096774194,0.037096774193548385,0.4693548387096774,0.4241935483870968,0.8903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14233870967742
6,8,11.516962843295637,0.0,0.4818897637795276,0.27716535433070866,0.23307086614173228,0.22677165354330708,0.7968503937007874,0.08503937007874016,0.029921259842519685,0.3480314960629921,0.3968503937007874,0.7700787401574803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.865354330708661
7,9,12.072727272727272,1.0,0.4213197969543147,0.3223350253807107,0.2918781725888325,0.3248730964467005,0.8324873096446701,0.07868020304568528,0.015228426395939087,0.3223350253807107,0.5228426395939086,0.8248730964467005,0.015228426395939087,0.04568527918781726,0.025380710659898477,0.03553299492385787,0.03807106598984772,0.02284263959390863,0.04568527918781726,0.015228426395939087,0.02030456852791878,0.04060913705583756,0.030456852791878174,0.030456852791878174,0.030456852791878174,0.030456852791878174,0.030456852791878174,0.030456852791878174,0.02030456852791878,0.04060913705583756,5.01015228426396
8,10,11.586750788643533,1.0,0.49221183800623053,0.21806853582554517,0.2616822429906542,0.22741433021806853,0.7227414330218068,0.11838006230529595,0.07165109034267912,0.24922118380062305,0.43613707165109034,0.7476635514018691,0.021806853582554516,0.0529595015576324,0.03115264797507788,0.04361370716510903,0.028037383177570093,0.04672897196261682,0.021806853582554516,0.0529595015576324,0.024922118380062305,0.04984423676012461,0.021806853582554516,0.0529595015576324,0.024922118380062305,0.04984423676012461,0.028037383177570093,0.04672897196261682,0.07476635514018691,0.0,5.215732087227415
9,11,12.00413223140496,0.0,0.4537987679671458,0.3141683778234086,0.3326488706365503,0.2997946611909651,0.8583162217659137,0.03696098562628337,0.022587268993839837,0.3798767967145791,0.4209445585215606,0.837782340862423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.892197125256674
10,12,12.10912343470483,0.0,0.45663716814159294,0.30619469026548674,0.3292035398230089,0.30442477876106194,0.7734513274336283,0.09911504424778761,0.04070796460176991,0.23716814159292035,0.5026548672566372,0.7575221238938054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820796460176991
11,13,11.506944444444445,1.0,0.4489795918367347,0.25510204081632654,0.22108843537414966,0.20068027210884354,0.7278911564625851,0.10204081632653061,0.04421768707482993,0.2619047619047619,0.47278911564625853,0.782312925170068,0.027210884353741496,0.05442176870748299,0.03741496598639456,0.04421768707482993,0.034013605442176874,0.047619047619047616,0.04421768707482993,0.03741496598639456,0.05102040816326531,0.030612244897959183,0.04421768707482993,0.03741496598639456,0.04421768707482993,0.03741496598639456,0.04421768707482993,0.03741496598639456,0.08163265306122448,0.0,4.8273809523809526
12,14,12.187793427230046,0.0,0.4413145539906103,0.3145539906103286,0.30985915492957744,0.29577464788732394,0.7793427230046949,0.0892018779342723,0.03286384976525822,0.1643192488262911,0.4694835680751174,0.6995305164319249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805164319248826
13,15,11.905263157894737,0.0,0.5242718446601942,0.20388349514563106,0.27184466019417475,0.3106796116504854,0.8932038834951457,0.06796116504854369,0.009708737864077669,0.32038834951456313,0.5533980582524272,0.7281553398058253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.286407766990291
14,16,12.080168776371307,0.0,0.45643153526970953,0.29045643153526973,0.33195020746887965,0.31950207468879666,0.7800829875518672,0.08713692946058091,0.03734439834024896,0.33195020746887965,0.4854771784232365,0.7842323651452282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3350622406639
15,17,12.070381231671554,0.0,0.4828571428571429,0.32285714285714284,0.32285714285714284,0.27714285714285714,0.7571428571428571,0.09428571428571429,0.04285714285714286,0.17142857142857143,0.4657142857142857,0.7257142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.397857142857143
16,18,12.065462753950339,0.0,0.5067264573991032,0.29596412556053814,0.3094170403587444,0.34080717488789236,0.7959641255605381,0.07847533632286996,0.04932735426008968,0.33856502242152464,0.49551569506726456,0.8295964125560538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664798206278027
17,19,12.506,1.0,0.49203187250996017,0.00199203187250996,0.4681274900398406,0.4800796812749004,0.8087649402390438,0.08565737051792828,0.04183266932270916,0.3784860557768924,0.4900398406374502,0.8585657370517928,0.027888446215139442,0.025896414342629483,0.01593625498007968,0.037848605577689244,0.035856573705179286,0.017928286852589643,0.03187250996015936,0.021912350597609563,0.025896414342629483,0.027888446215139442,0.035856573705179286,0.017928286852589643,0.035856573705179286,0.017928286852589643,0.03187250996015936,0.021912350597609563,0.053784860557768925,0.0,4.522410358565737
18,20,10.494791666666666,1.0,0.4397283531409168,0.4923599320882852,0.0,0.0,0.7826825127334465,0.09168081494057725,0.05432937181663837,0.21731748726655348,0.3395585738539898,0.8149405772495756,0.008488964346349746,0.04753820033955857,0.022071307300509338,0.03395585738539898,0.028862478777589132,0.027164685908319185,0.030560271646859084,0.025466893039049237,0.028862478777589132,0.027164685908319185,0.03395585738539898,0.022071307300509338,0.030560271646859084,0.025466893039049237,0.028862478777589132,0.027164685908319185,0.02037351443123939,0.035653650254668934,5.3578098471986415
19,21,12.224256292906178,1.0,0.4774774774774775,0.3108108108108108,0.28603603603603606,0.3108108108108108,0.777027027027027,0.08333333333333333,0.02927927927927928,0.15990990990990991,0.49774774774774777,0.740990990990991,0.02252252252252252,0.04054054054054054,0.04054054054054054,0.02252252252252252,0.03153153153153153,0.03153153153153153,0.04279279279279279,0.02027027027027027,0.04054054054054054,0.02252252252252252,0.04504504504504504,0.018018018018018018,0.038288288288288286,0.024774774774774775,0.038288288288288286,0.024774774774774775,0.033783783783783786,0.02927927927927928,5.548986486486487
20,22,12.002958579881657,1.0,0.48759124087591244,0.32116788321167883,0.3124087591240876,0.3182481751824818,0.8321167883211679,0.052554744525547446,0.042335766423357665,0.35036496350364965,0.45255474452554745,0.8087591240875912,0.030656934306569343,0.016058394160583942,0.03795620437956204,0.008759124087591242,0.017518248175182483,0.029197080291970802,0.032116788321167884,0.014598540145985401,0.03795620437956204,0.008759124087591242,0.035036496350364967,0.01167883211678832,0.033576642335766425,0.013138686131386862,0.035036496350364967,0.01167883211678832,0.04671532846715328,0.0,5.359489051094891
21,23,12.06527093596059,0.0,0.4927007299270073,0.3199513381995134,0.30900243309002434,0.305352798053528,0.781021897810219,0.08880778588807786,0.04257907542579075,0.29927007299270075,0.4708029197080292,0.7712895377128953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500912408759124
22,24,12.014388489208633,1.0,0.5041716328963052,0.3253873659117998,0.33253873659118,0.30512514898688914,0.8057210965435042,0.09415971394517282,0.029797377830750895,0.38974970202622167,0.4410011918951132,0.8581644815256257,0.017878426698450536,0.02026221692491061,0.028605482717520857,0.009535160905840286,0.015494636471990465,0.02264600715137068,0.03218116805721097,0.0059594755661501785,0.023837902264600714,0.014302741358760428,0.02264600715137068,0.015494636471990465,0.023837902264600714,0.014302741358760428,0.021454112038140644,0.0166865315852205,0.03814064362336114,0.0,5.188021454112038
23,25,12.053204353083434,0.0,0.4803337306317044,0.30274135876042907,0.3230035756853397,0.31942789034564956,0.7926102502979738,0.08343265792610251,0.04529201430274136,0.37187127532777114,0.4159713945172825,0.8355184743742551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.163587604290822
24,26,12.133333333333333,1.0,0.4927536231884058,0.357487922705314,0.2753623188405797,0.2946859903381642,0.7777777777777778,0.0821256038647343,0.033816425120772944,0.25120772946859904,0.38164251207729466,0.8067632850241546,0.0,0.0966183574879227,0.03864734299516908,0.057971014492753624,0.04830917874396135,0.04830917874396135,0.03864734299516908,0.057971014492753624,0.07246376811594203,0.024154589371980676,0.04830917874396135,0.04830917874396135,0.04830917874396135,0.04830917874396135,0.057971014492753624,0.03864734299516908,0.03864734299516908,0.057971014492753624,4.934782608695652
25,27,11.72280701754386,1.0,0.5086505190311419,0.21453287197231835,0.2491349480968858,0.22837370242214533,0.7024221453287197,0.10380622837370242,0.04498269896193772,0.1453287197231834,0.4429065743944637,0.6539792387543253,0.006920415224913495,0.06228373702422145,0.0,0.06920415224913495,0.006920415224913495,0.06228373702422145,0.01384083044982699,0.05536332179930796,0.006920415224913495,0.06228373702422145,0.020761245674740483,0.04844290657439446,0.0034602076124567475,0.0657439446366782,0.0034602076124567475,0.0657439446366782,0.0034602076124567475,0.0657439446366782,5.585640138408304
26,28,12.167101827676241,0.0,0.4910025706940874,0.2750642673521851,0.30848329048843187,0.35732647814910024,0.794344473007712,0.09254498714652956,0.028277634961439587,0.38046272493573263,0.455012853470437,0.8457583547557841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0424164524421595
27,29,12.11111111111111,1.0,0.4740484429065744,0.31833910034602075,0.31141868512110726,0.29411764705882354,0.7439446366782007,0.10380622837370242,0.03460207612456748,0.33217993079584773,0.4083044982698962,0.7681660899653979,0.02768166089965398,0.05536332179930796,0.031141868512110725,0.05190311418685121,0.04152249134948097,0.04152249134948097,0.031141868512110725,0.05190311418685121,0.03460207612456748,0.04844290657439446,0.03460207612456748,0.04844290657439446,0.04152249134948097,0.04152249134948097,0.04152249134948097,0.04152249134948097,0.02768166089965398,0.05536332179930796,4.133217993079585
28,30,12.111313868613138,0.0,0.4910394265232975,0.3154121863799283,0.3207885304659498,0.3279569892473118,0.7956989247311828,0.0985663082437276,0.04121863799283154,0.31362007168458783,0.5017921146953405,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.846326164874552
29,31,11.529715762273902,1.0,0.5229591836734694,0.2423469387755102,0.21173469387755103,0.22959183673469388,0.7576530612244898,0.08673469387755102,0.0663265306122449,0.26785714285714285,0.4744897959183674,0.8367346938775511,0.015306122448979591,0.04591836734693878,0.012755102040816327,0.04846938775510204,0.02806122448979592,0.03316326530612245,0.02040816326530612,0.04081632653061224,0.03571428571428571,0.025510204081632654,0.02806122448979592,0.03316326530612245,0.017857142857142856,0.04336734693877551,0.02806122448979592,0.03316326530612245,0.017857142857142856,0.04336734693877551,5.343112244897959
30,32,11.845959595959595,0.0,0.49754901960784315,0.22058823529411764,0.2549019607843137,0.2426470588235294,0.7696078431372549,0.09313725490196079,0.061274509803921566,0.15931372549019607,0.4387254901960784,0.7279411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.478553921568627
31,33,11.509234828496043,1.0,0.4895833333333333,0.23697916666666666,0.21614583333333334,0.22916666666666666,0.8151041666666666,0.078125,0.044270833333333336,0.28125,0.4479166666666667,0.8333333333333334,0.013020833333333334,0.049479166666666664,0.013020833333333334,0.049479166666666664,0.010416666666666666,0.052083333333333336,0.010416666666666666,0.052083333333333336,0.026041666666666668,0.036458333333333336,0.018229166666666668,0.044270833333333336,0.013020833333333334,0.049479166666666664,0.015625,0.046875,0.005208333333333333,0.057291666666666664,5.529947916666667
32,34,10.613843351548269,1.0,0.46511627906976744,0.48300536672629696,0.0,0.0,0.7101967799642218,0.11806797853309481,0.06440071556350627,0.29338103756708406,0.33989266547406083,0.813953488372093,0.02146690518783542,0.03577817531305903,0.028622540250447227,0.028622540250447227,0.028622540250447227,0.028622540250447227,0.03220035778175313,0.025044722719141325,0.03756708407871199,0.01967799642218247,0.03577817531305903,0.02146690518783542,0.03935599284436494,0.017889087656529516,0.03220035778175313,0.025044722719141325,0.026833631484794274,0.03041144901610018,5.0554561717352415
33,35,12.010989010989011,1.0,0.5027027027027027,0.3054054054054054,0.3054054054054054,0.31891891891891894,0.7837837837837838,0.0945945945945946,0.03513513513513514,0.4189189189189189,0.3891891891891892,0.8027027027027027,0.002702702702702703,0.062162162162162166,0.01891891891891892,0.04594594594594595,0.005405405405405406,0.05945945945945946,0.03783783783783784,0.02702702702702703,0.002702702702702703,0.062162162162162166,0.008108108108108109,0.05675675675675676,0.005405405405405406,0.05945945945945946,0.0,0.0,0.005405405405405406,0.05945945945945946,5.562162162162162
34,36,12.588235294117647,0.0,0.46102819237147596,0.001658374792703151,0.5008291873963516,0.43449419568822556,0.7595356550580431,0.0978441127694859,0.04477611940298507,0.44112769485903813,0.373134328358209,0.8407960199004975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.279436152570481
35,37,12.55621301775148,0.0,0.45294117647058824,0.0,0.48823529411764705,0.43529411764705883,0.8176470588235294,0.06470588235294118,0.023529411764705882,0.48823529411764705,0.3764705882352941,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.379411764705883
36,38,12.048175182481751,0.0,0.4776978417266187,0.2949640287769784,0.3294964028776978,0.30503597122302156,0.7093525179856115,0.12086330935251799,0.06330935251798561,0.24172661870503598,0.5050359712230216,0.8115107913669065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.978057553956835
37,39,12.117913832199546,0.0,0.4966292134831461,0.32134831460674157,0.30112359550561796,0.32134831460674157,0.7662921348314606,0.09662921348314607,0.04269662921348315,0.3752808988764045,0.3797752808988764,0.8314606741573034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3640449438202245
38,40,12.284810126582279,1.0,0.463855421686747,0.28313253012048195,0.3132530120481928,0.30120481927710846,0.7108433734939759,0.10843373493975904,0.060240963855421686,0.14457831325301204,0.43373493975903615,0.6686746987951807,0.018072289156626505,0.10240963855421686,0.04216867469879518,0.0783132530120482,0.060240963855421686,0.060240963855421686,0.03614457831325301,0.08433734939759036,0.04819277108433735,0.07228915662650602,0.04819277108433735,0.07228915662650602,0.05421686746987952,0.06626506024096386,0.03614457831325301,0.08433734939759036,0.03614457831325301,0.08433734939759036,4.650602409638554
39,41,11.681451612903226,0.0,0.4507874015748031,0.22244094488188976,0.2637795275590551,0.2559055118110236,0.7421259842519685,0.08267716535433071,0.05905511811023622,0.18700787401574803,0.4763779527559055,0.7381889763779528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.493110236220472
40,42,12.086448598130842,1.0,0.4875283446712018,0.2947845804988662,0.30612244897959184,0.3333333333333333,0.7437641723356009,0.09070294784580499,0.049886621315192746,0.2947845804988662,0.47845804988662133,0.8140589569160998,0.018140589569160998,0.045351473922902494,0.022675736961451247,0.04081632653061224,0.024943310657596373,0.03854875283446712,0.027210884353741496,0.036281179138321996,0.02947845804988662,0.034013605442176874,0.031746031746031744,0.031746031746031744,0.024943310657596373,0.03854875283446712,0.027210884353741496,0.036281179138321996,0.06349206349206349,0.0,5.313492063492063
41,43,12.10344827586207,0.0,0.5299145299145299,0.3247863247863248,0.24786324786324787,0.39316239316239315,0.7264957264957265,0.08547008547008547,0.06837606837606838,0.49572649572649574,0.26495726495726496,0.8376068376068376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967948717948718
42,44,11.66909090909091,1.0,0.4946236559139785,0.26881720430107525,0.21505376344086022,0.21863799283154123,0.7025089605734767,0.11827956989247312,0.035842293906810034,0.15053763440860216,0.4014336917562724,0.6845878136200717,0.010752688172043012,0.06093189964157706,0.014336917562724014,0.05734767025089606,0.021505376344086023,0.05017921146953405,0.025089605734767026,0.04659498207885305,0.043010752688172046,0.02867383512544803,0.025089605734767026,0.04659498207885305,0.021505376344086023,0.05017921146953405,0.02867383512544803,0.043010752688172046,0.017921146953405017,0.053763440860215055,5.07078853046595
43,45,13.166666666666666,1.0,0.3704545454545455,0.013636363636363636,0.011363636363636364,0.7727272727272727,0.6431818181818182,0.07954545454545454,0.01818181818181818,0.07045454545454545,0.4954545454545455,0.5068181818181818,0.025,0.029545454545454545,0.03636363636363636,0.01818181818181818,0.03409090909090909,0.020454545454545454,0.045454545454545456,0.00909090909090909,0.04090909090909091,0.013636363636363636,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.03409090909090909,0.020454545454545454,0.031818181818181815,0.022727272727272728,5.401136363636364
44,46,12.486301369863014,0.0,0.348993288590604,0.0,0.4429530201342282,0.5100671140939598,0.785234899328859,0.08053691275167785,0.053691275167785234,0.1476510067114094,0.6040268456375839,0.6375838926174496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.859060402684563
45,47,11.585034013605442,0.0,0.5,0.2833333333333333,0.18,0.25666666666666665,0.7566666666666667,0.11666666666666667,0.07,0.33666666666666667,0.43,0.8433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2941666666666665
46,48,12.529968454258675,1.0,0.48589341692789967,0.003134796238244514,0.47648902821316613,0.4670846394984326,0.8432601880877743,0.05329153605015674,0.02821316614420063,0.29153605015673983,0.5329153605015674,0.8338557993730408,0.018808777429467086,0.05642633228840126,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,4.744514106583072
47,49,12.25061425061425,1.0,0.4613526570048309,0.32608695652173914,0.30193236714975846,0.2826086956521739,0.7705314009661836,0.06280193236714976,0.036231884057971016,0.16183574879227053,0.5193236714975845,0.6956521739130435,0.0024154589371980675,0.05555555555555555,0.00966183574879227,0.04830917874396135,0.026570048309178744,0.03140096618357488,0.012077294685990338,0.04589371980676329,0.01932367149758454,0.03864734299516908,0.012077294685990338,0.04589371980676329,0.012077294685990338,0.04589371980676329,0.00966183574879227,0.04830917874396135,0.012077294685990338,0.04589371980676329,5.131642512077295
48,50,11.579545454545455,0.0,0.48314606741573035,0.20786516853932585,0.24719101123595505,0.2303370786516854,0.7359550561797753,0.11797752808988764,0.0449438202247191,0.29213483146067415,0.38764044943820225,0.7696629213483146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4831460674157304
49,51,12.168498168498168,1.0,0.5027223230490018,0.32849364791288566,0.2867513611615245,0.30127041742286753,0.6678765880217786,0.15970961887477314,0.056261343012704176,0.21960072595281308,0.52994555353902,0.7894736842105263,0.010889292196007259,0.047186932849364795,0.012704174228675136,0.045372050816696916,0.007259528130671506,0.050816696914700546,0.014519056261343012,0.043557168784029036,0.012704174228675136,0.045372050816696916,0.007259528130671506,0.050816696914700546,0.014519056261343012,0.043557168784029036,0.029038112522686024,0.029038112522686024,0.007259528130671506,0.050816696914700546,4.932849364791289
50,53,11.595898673100121,0.0,0.48288075560802834,0.23376623376623376,0.26092089728453366,0.24557260920897284,0.8654073199527745,0.05548996458087367,0.02833530106257379,0.3955135773317591,0.3907910271546635,0.8606847697756789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866587957497049
51,55,11.56140350877193,0.0,0.5107296137339056,0.27467811158798283,0.2317596566523605,0.22746781115879827,0.7982832618025751,0.07725321888412018,0.05150214592274678,0.31759656652360513,0.34334763948497854,0.8669527896995708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1834763948497855
52,56,12.086158192090396,1.0,0.4554317548746518,0.30919220055710306,0.29526462395543174,0.29526462395543174,0.7674094707520891,0.0766016713091922,0.02924791086350975,0.16434540389972144,0.5222841225626741,0.7353760445682451,0.001392757660167131,0.04317548746518106,0.004178272980501393,0.0403899721448468,0.004178272980501393,0.0403899721448468,0.018105849582172703,0.026462395543175487,0.01532033426183844,0.02924791086350975,0.016713091922005572,0.027855153203342618,0.006963788300835654,0.037604456824512536,0.011142061281337047,0.033426183844011144,0.002785515320334262,0.04178272980501393,4.7604456824512535
53,57,11.597069597069597,0.0,0.46236559139784944,0.1863799283154122,0.26523297491039427,0.25806451612903225,0.7885304659498208,0.08960573476702509,0.053763440860215055,0.33691756272401435,0.4157706093189964,0.8458781362007168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.400537634408602
54,58,12.553017944535073,1.0,0.46849757673667203,0.004846526655896607,0.4991922455573506,0.4394184168012924,0.7754442649434572,0.08723747980613894,0.05654281098546042,0.36187399030694667,0.47495961227786754,0.8352180936995154,0.008077544426494346,0.04361873990306947,0.017770597738287562,0.033925686591276254,0.029079159935379646,0.022617124394184167,0.025848142164781908,0.025848142164781908,0.027463651050080775,0.024232633279483037,0.027463651050080775,0.024232633279483037,0.027463651050080775,0.024232633279483037,0.029079159935379646,0.022617124394184167,0.025848142164781908,0.025848142164781908,5.0678513731825525
55,59,12.57913043478261,0.0,0.47668393782383417,0.0,0.44041450777202074,0.5094991364421416,0.8601036269430051,0.05872193436960276,0.017271157167530225,0.27461139896373055,0.6476683937823834,0.8670120898100173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.332901554404145
56,60,12.61196319018405,1.0,0.4583963691376702,0.0,0.46747352496217853,0.5098335854765507,0.8819969742813918,0.046898638426626324,0.01059001512859304,0.32223903177004537,0.5658093797276853,0.8547655068078669,0.01361573373676248,0.03479576399394856,0.0226928895612708,0.025718608169440244,0.02118003025718608,0.02723146747352496,0.01664145234493192,0.03177004538577912,0.02723146747352496,0.02118003025718608,0.03328290468986384,0.015128593040847202,0.030257186081694403,0.018154311649016642,0.0226928895612708,0.025718608169440244,0.048411497730711045,0.0,5.069969742813918
